Text	Name	2010	2008	2006	2004	2002	2000	1998	1996	1995	10label	08label	06label	04label	02label	00label	98label	96label	95label	
Have Medicare Part D?	HaveMedicareD	N352	N352	N352	N/A	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have other prescription coverage? 	HaveDrugCover	N417	N417	N/A	N/A	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
How is Part D paid for?	HowPartDPaid	N423	N423	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PartDPay	PartDPay	PartDPay	PartDPay	PartDPay	PartDPay	PartDPay	PartDPay	PartDPay	
Soc Sec deduction for Part D	PartDSSDeduct	N424	N424	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	
Part D premiums amount	PartDPremAmt	N404	N404	N404	N/A	N/A	N/A	N/A	N/A	N/A	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	
Part D premiums minimum	PartDPremMin	N405	N405	N405	N/A	N/A	N/A	N/A	N/A	N/A	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	
Part D premiums maximum	PartPremMax	N406	N406	N406	N/A	N/A	N/A	N/A	N/A	N/A	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	
Received drug coverage extra help?	PartDExtraHelp	N427	N427	N/A	N/A	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Number of other insurance plans	NumPrivPlans	N023	N023	N023	N023	N023	N/A	N/A	N/A	5215	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	
Is plan 1 or Medicare primary?	Plan1Primary	N025_1	N025_1	N025_1	N025_1	N025_1	N/A	N/A	N/A	N/A	IsPrimary	IsPrimary	IsPrimary	IsPrimary	IsPrimary	IsPrimary	IsPrimary	IsPrimary	IsPrimary	
Does plan 1 help with prescriptions?	Plan1PayRX	N032_1	N032_1	N032_1	N032_1	N032_1	6285	5912	5179_1	5252	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Is plan 1 from current employer?	Plan1CurEmp	N033_1	N033_1	N033_1	N033_1	N033_1	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	* Coded differently 1996-2000
Is plan 1 from former employer?	Plan1ForEmp	N034_1	N034_1	N034_1	N034_1	N034_1	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Is plan 1 from spouses cur employer?	Plan1CurSpEmp	N035_1	N035_1	N035_1	N035_1	N035_1	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Is plan 1 from spouses fmr employer?	Plan1ForSpEmp	N036_1	N036_1	N036_1	N036_1	N036_1	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
How plan 1 was purchased	Plan1HowPurch	N037_1	N037_1	N037_1	N037_1	N037_1	6269	5896	5163_1	5225M1	WherePurch	WherePurch	WherePurch	WherePurch	WherePurch	HowObtain	HowObtain	HowObtain	HowObtain	
Pay all/some/none premiums on plan 1	Plan1PremPay	N039_1	N039_1	N039_1	N039_1	N039_1	6272	5899	5166_1	5226	AllSomeNone	AllSomeNone	AllSomeNone	AllSomeNone	AllSomeNone	AllSomeNone	AllSomeNone	AllSomeNone	AllSomeNone	
Premiums paid for plan 1 amount	Plan1PremAmt	N040_1	N040_1	N040_1	N040_1	N040_1	6273	5900	5167_1	5227	Value5	Value5	Value5	Value5	Value3	Value3	Value3	Value3	Value3	
Premiums paid period (2000 and before)	Plan1PremPer	N/A	N/A	N/A	N/A	N/A	6274	5901	5168_1	5228	N/A	N/A	N/A	N/A	N/A	Period2	Period2	Period2	Period3	
Premiums paid for plan 1 minimum	Plan1PremMin	N041_1	N041_1	N041_1	N041_1	N041_1	N/A	N/A	N/A	N/A	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	
Premiums paid for plan 1 maximum	Plan1PremMax	N042_1	N042_1	N042_1	N042_1	N042_1	N/A	N/A	N/A	N/A	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	
Plan 1 is Medigap (2000 and before)	Plan1Medigap	N/A	N/A	N/A	N/A	N/A	6276	5903	5170_1	N/A	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	
Who else covered by plan 1 (first)?	Plan1WhoCoverA	N049_1A	N049_1A	N049_1A	N049_1a	N049_1A	6279M1	5906M1	5173011	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Who else covered by plan 1 (second)?	Plan1WhoCoverB	N049_1B	N049_1B	N049_1B	N049_1b	N049_1B	6279M2	5906M2	5173012	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Who else covered by plan 1 (third)?	Plan1WhoCoverC	N049_1C	N049_1C	N049_1C	N049_1c	N049_1C	6279M3	5906M3	5173013	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Is plan 1 an HMO?	Plan1IsHMO	N052_1	N052_1	N052_1	N052_1	N052_1	6280	5907	5174_1	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Plan 1 have a doctor network?	Plan1DocNetwork	N055_1	N055_1	N055_1	N055_1	N055_1	6281	5908	5175_1	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Plan 1 pay for outside network care?	Plan1PayOutNtwk	N056_1	N056_1	N056_1	N056_1	N056_1	6282	5909	5176_1	N/A	YesNoRef	YesNoRef	YesNoRef	YesNoRef	YesNoRef	YesNoRef	YesNoRef	YesNoRef	YesNoRef	
How plan 1 copays on doc visits if HMO	Plan1HowPayDoc	N/A	N/A	N/A	N/A	N/A	6283	5910	5177_1	N/A	N/A	N/A	N/A	N/A	N/A	DocPay	DocPay	DocPay	DocPay	
Does plan 2 help with prescriptions?	Plan2PayRX	N032_2	N032_2	N032_2	N032_2	N032_2	6318	5944	5179_2	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Is plan 2 from current employer?	Plan2CurEmp	N033_2	N033_2	N033_2	N033_2	N033_2	N/A	N/A	5163_2	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Is plan 2 from former employer?	Plan2ForEmp	N034_2	N034_2	N034_2	N034_2	N034_2	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Is plan 2 from spouses cur employer?	Plan2CurSpEmp	N035_2	N035_2	N035_2	N035_2	N035_2	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Is plan 2 from spouses fmr employer?	Plan2ForSpEmp	N036_2	N036_2	N036_2	N036_2	N036_2	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
How plan 2 was purchased	Plan2HowPurch	N037_2	N037_2	N037_2	N037_2	N037_2	N/A	N/A	N/A	5242M1	WherePurch	WherePurch	WherePurch	WherePurch	WherePurch	WherePurch	WherePurch	WherePurch	WherePurch	
Pay all/some/none premiums on plan 2	Plan2PremPay	N039_2	N039_2	N039_2	N039_2	N039_2	6314	5940	5166_2	5243	AllSomeNone	AllSomeNone	AllSomeNone	AllSomeNone	AllSomeNone	AllSomeNone	AllSomeNone	AllSomeNone	AllSomeNone	
Premiums paid for plan 2 amount	Plan2PremAmt	N040_2	N040_2	N040_2	N040_2	N040_2	6315	5941	5167_2	5244	Value5	Value5	Value5	Value4	Value4	Value4	Value4	Value4	Value4	
Premiums paid period (2000 and before)	Plan2PremPer	N/A	N/A	N/A	N/A	N/A	6316	5942	5168_2	5245	N/A	N/A	N/A	N/A	N/A	Period2	Period2	Period2	Period2	
Premiums paid for plan 2 minimum	Plan2PremMin	N041_2	N041_2	N041_2	N041_2	N041_2	N/A	N/A	N/A	N/A	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	
Premiums paid for plan 2 maximum	Plan2PremMax	N042_2	N042_2	N042_2	N042_2	N042_2	N/A	N/A	N/A	N/A	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	
Plan 2 is Medigap (2000 and before)	Plan2Medigap	N/A	N/A	N/A	N/A	N/A	6313	5939	5170_2	N/A	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	
Who else covered by plan 2 (first)?	Plan2WhoCoverA	N049_2A	N049_2A	N049_2A	N049_2a	N049_2A	N/A	N/A	5173001	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Who else covered by plan 2 (second)?	Plan2WhoCoverB	N049_2B	N049_2B	N049_2B	N049_2b	N049_2B	N/A	N/A	5173002	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Who else covered by plan 2 (third)?	Plan2WhoCoverC	N049_2C	N049_2C	N049_2C	N049_2c	N049_2C	N/A	N/A	5173003	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Is plan 2 an HMO?	Plan2IsHMO	N052_2	N052_2	N052_2	N052_2	N052_2	N/A	N/A	5174_2	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
plan 2 have a doctor network?	Plan2DocNetwork	N055_2	N055_2	N055_2	N055_2	N055_2	N/A	N/A	5175_2	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
plan 2 pay for outside network care?	Plan2PayOutNtwk	N056_2	N056_2	N056_2	N056_2	N056_2	N/A	N/A	5176_2	N/A	YesNoRef	YesNoRef	YesNoRef	YesNoRef	YesNoRef	YesNoRef	YesNoRef	YesNoRef	YesNoRef	
Total number of insurance plans	TotalInsPlans	N090	N090	N090	N090	N090	N/A	N/A	5177_2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Have long term care insurance?	HaveLTCIns	N071	N071	N071	N071	N071	6393	5999	5266	5263	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Which plan has LTC?	WhichPlanLTC	N073	N073	N073	N073	N073	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
Does LTC insurance cover spouse?	LTCCoverSpouse	N238	N238	N238	N238	N238	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Premium for LTC insurance amount	LTCPremAmt	N079	N079	N079	N079	N079	6397	6003	5270	5267	Value6	Value6	Value6	Value5	Value5	Value5	Value5	Value5	Value5	
Premium for LTC insurance minimum	LTCPremMin	N080	N080	N080	N080	N080	N/A	N/A	N/A	N/A	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	
Premium for LTC insurance maximum	LTCPremMax	N081	N081	N081	N081	N081	N/A	N/A	N/A	N/A	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	
Premium for LTC insurance period	LTCPremPer	N083	N083	N083	N083	N083	6398	6004	5271	5268	Period1	Period1	Period1	Period1	Period1	Period1	Period1	Period1	Period3	
Ever without health insurance?	EverWithoutIns	N091	N091	N091	N091	N091	6357	5971	5238	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Confirm no health insurance now?	NoHealthInsNow	N342	N342	N342	N342	N/A	6366	5980	5247	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Have you stayed in hospital overnight?	StayInHosp	N099	N099	N099	N099	N099	2567	2295	1770	1664	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Number of stays in hospital	HospNumStays	N100	N100	N100	N100	N100	2568	2296	1771	1665	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	
Number of nights spent in hospital	HospNumNights	N101	N101	N101	N101	N101	2569	2297	1772	1666	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	
How much of hosp stay covered by ins?	HospCoverByIns	N102	N102	N102	N102	N102	2570	2298	1775	1669	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	
Out of pocket hospital bills amount	HospOOPAmt	N106	N106	N106	N106	N106	N/A	N/A	N/A	N/A	Value7	Value7	Value7	Value7	Value5	Value5	Value5	Value5	Value5	
Out of pocket hospital bills minimum	HospOOPMin	N107	N107	N107	N107	N107	N/A	N/A	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Out of pocket hospital bills maximum	HospOOPMax	N108	N108	N108	N108	N108	N/A	N/A	N/A	N/A	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	
Expect ins to cover hospital stay?	HospExpectInsCov	N110	N110	N110	N110	N110	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Ever stay in long term care?	StayInLTC	N114	N114	N114	N114	N114	2571	2299	1776	1681	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Number of stays in long term care	LTCNumStays	N115	N115	N115	N115	N115	2572	2300	1777	1682	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	
Number of nights spent in LTC	LTCNumNights	N116	N116	N116	N116	N116	2573	2301	1778	1683	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	
Number of months spent in LTC	LTCNumMonths	N117	N117	N117	N117	N117	2574	2302	1779	1684	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	Value2	
How much of LTC stay covered by ins?	LTCCoverByIns	N118	N118	N118	N118	N118	2576	2304	1781	1686	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	
Out of pocket LTC bills amount	LTCOOPAmt	N119	N119	N119	N119	N119	2577	2305	1783	1688	Value7	Value7	Value7	Value7	Value7	Value7	Value7	Value7	Value7	*this includes hospital stay for 1996-2000
Out of pocket LTC bills minimum	LTCOOPMin	N120	N120	N120	N120	N120	N/A	N/A	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Out of pocket LTC bills maximum	LTCOOPMax	N121	N121	N121	N121	N121	N/A	N/A	N/A	N/A	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	
Hosp/LTC more than 5000?	LTCOOPgt5000	N/A	N/A	N/A	N/A	N/A	2578	2306	1787	1692	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Hosp/LTC more than 10000?	LTCOOPgt10000	N/A	N/A	N/A	N/A	N/A	2579	2307	1784	1689	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Hosp/LTC more than 20000?	LTCOOPgt20000	N/A	N/A	N/A	N/A	N/A	2580	2308	1785	1690	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Hosp/LTC more than 50000?	LTCOOPgt50000	N/A	N/A	N/A	N/A	N/A	2581	2309	1786	1691	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Hosp/LTC more than 10000?	LTCOOPgt10000a	N/A	N/A	N/A	N/A	N/A	2582	2310	N/A	N/A	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Hosp/LTC more than 5000?	LTCOOPgt5000a	N/A	N/A	N/A	N/A	N/A	2583	2311	N/A	N/A	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Hosp/LTC more than 500?	LTCOOPgt500	N/A	N/A	N/A	N/A	N/A	2584	2312	1788	1693	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Had outpatient surgery?	HadOutSurg	N134	N134	N134	N134	N134	2610	2333	1795	1713	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
How much of surgery covered by ins?	OutSurgCoverByIns	N135	N135	N135	N135	N135	2611	2334	1798	1716	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	
Out of pocket surgery costs amount	OutSurgOOPAmt	N139	N139	N139	N139	N139	2614	2337	1804	1732	Value7	Value7	Value7	Value7	Value7	Value7	Value7	Value7	Value7	* 1996-2000 includes dental & doc visits
Out of pocket surgery costs minimum	OutSurgOOPMin	N140	N140	N140	N140	N140	N/A	N/A	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Out of pocket surgery costs maximum	OutSurgOOPMax	N141	N141	N141	N141	N141	N/A	N/A	N/A	N/A	Value8	Value8	Value8	Value8	Value8	Value8	Value8	Value8	Value8	
Surg/dental/doc more than 500?	SgDenDocgt500	N/A	N/A	N/A	N/A	N/A	2615	2338	N/A	1736	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Surg/dental/doc more than 1000?	SgDenDocgt1000	N/A	N/A	N/A	N/A	N/A	2616	2339	1805	1733	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Surg/dental/doc more than 5000?	SgDenDocgt5000	N/A	N/A	N/A	N/A	N/A	2617	2340	1806	1734	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Surg/dental/doc more than 20000?	SgDenDocgt20000	N/A	N/A	N/A	N/A	N/A	2618	2341	1807	1735	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Surg/dental/doc more than 1000?	SgDenDocgt1000a	N/A	N/A	N/A	N/A	N/A	2619	2342	N/A	N/A	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Surg/dental/doc more than 500?	SgDenDocgt500a	N/A	N/A	N/A	N/A	N/A	2620	2343	1808	N/A	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Surg/dental/doc more than 200?	SgDenDocgt200	N/A	N/A	N/A	N/A	N/A	2621	2344	1809	1737	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Expect ins to cover outpatient surgery?	OutSurgExpectInsCov	N143	N143	N143	N143	N143	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Number other doctor consultations	DocVisNum	N147	N147	N147	N147	N147	2603	2331	1790	1698	YesNo	YesNo	Value3	Value3	Value3	Value3	Value3	Value3	Value3	
Doctor visits relative to 20?	DocVisgt20	N148	N148	N148	N148	N148	2604	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Doctor visits relative to 5?	DocVisgt5	N149	N149	N149	N149	N149	2605	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Doctor visits relative to 1?	DocVisgt1	N150	N150	N150	N150	N150	2606	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Doctor visits relative to 50?	DocVisgt50	N151	N151	N151	N151	N151	2607	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
How much of doc visits covered by ins?	DocVisCoverByIns	N152	N152	N152	N152	N152	2609	2332	1793	1701	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	
Out of pocket doc visits amount	DocVisOOPAmt	N156	N156	N156	N156	N156	N/A	N/A	N/A	N/A	Value7	Value7	Value7	Value6	Value6	Value6	Value6	Value6	Value6	
Out of pocket doc visits minimum	DocVisOOPMin	N157	N157	N157	N157	N157	N/A	N/A	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Out of pocket doc visits maximum	DocVisOOPMax	N158	N158	N158	N158	N158	N/A	N/A	N/A	N/A	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	Value6	
Expect ins to cover doc visits?	DocVisExpectInsCov	N160	N160	N160	N160	N160	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Seen dentist?	DentistVisit	N164	N164	N164	N164	N164	2612	2335	1800	1728	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
How much of dentist covered by ins?	DentistCoverByIns	N165	N165	N165	N165	N165	2613	2336	1803	1731	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	
Out of pocket dental bills amount	DentistOOPAmt	N168	N168	N168	N168	N168	N/A	N/A	N/A	N/A	Value7	Value7	Value7	Value7	Value7	Value7	Value7	Value7	Value7	
Out of pocket dental bills minimum	DentistOOPMin	N169	N169	N169	N169	N169	N/A	N/A	N/A	N/A	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	
Out of pocket dental bills maximum	DentistOOPMax	N170	N170	N170	N170	N170	N/A	N/A	N/A	N/A	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Expect ins to cover dentist bills?	DentistExpectInsCov	N/A	N172	N172	N172	N172	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Regularly take prescription drugs?	TakeRXDrugs	N175	N175	N175	N175	N175	2622	2345	1811	1744	YesNoRX	YesNoRX	YesNoRX	YesNoRX	YesNoRX	YesNoRX	YesNoRX	YesNoRX	YesNoRX	
Take drugs for cholesterol?	TakeRX4Chol	N360	N360	N360	N/A	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Take drugs for muscle/joint pain?	TakeRX4MusPain	N361	N361	N361	N/A	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Take drugs for breathing problems?	TakeRX4Breath	N362	N362	N362	N/A	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Take drugs for stomach problems?	TakeRX4Stomach	N363	N363	N363	N/A	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Take drugs for sleep problems?	TakeRX4Sleep	N364	N364	N364	N/A	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
Take drugs for anxiety/depression?	TakeRX4Anxiety	N365	N365	N365	N/A	N/A	N/A	N/A	N/A	N/A	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	YesNo	
How much of drugs covered by ins?	RXCoverByIns	N176	N176	N176	N176	N176	2623	2346	1815	1748	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	InsCoverage	
Out of pocket drugs/month amount	RXOOPAmt	N180	N180	N180	N180	N180	2624	2347	1816	1749	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	Value5	
Out of pocket drugs/month minimum	RXOOPMin	N181	N181	N181	N181	N181	N/A	N/A	N/A	N/A	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	Value3	
Out of pocket drugs/month maximum	RXOOPMax	N182	N182	N182	N182	N182	N/A	N/A	N/A	N/A	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	Value4	
Prescriptions more than 10?	RXOOPgt10	N/A	N/A	N/A	N/A	N/A	2625	2348	N/A	1753	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
Prescriptions more than 20?	RXOOPgt20	N/A	N/A	N/A	N/A	N/A	2626	2349	N/A	1750	N/A	N/A	N/A	N/A	N/A	MoreLess1	MoreLess1	MoreLess1	MoreLess1	
